beach_id,beach_name,state,county,reasons,indicators,sources,no_of_beach_actions,no_of_days_under_action,closure,rain_advisory,contamination_advisory
IL705276,Leone Beach,IL,COOK,ELEVATED BACTERIA,"ENTEROCOCCI, ECOLI",UNKNOWN,12,15,0,0,12
IL730475,Highland Park Rosewood Beach,IL,LAKE,ELEVATED BACTERIA,ECOLI,UNKNOWN,8,11,8,0,0
IL748682,Juneway Terrace Park Beach,IL,COOK,ELEVATED BACTERIA,ECOLI,UNKNOWN,10,13,0,0,10
IL750307,Wilmette Langdon Beach,IL,COOK,ELEVATED BACTERIA,ECOLI,UNKNOWN,4,10,3,0,1
IL750698,Winnetka Maple Park Beach,IL,COOK,"ELEVATED BACTERIA, OTHER",ECOLI,"UNKNOWN, OTHER",15,21,10,0,5
IL779721,Evanston Church Dog Beach,IL,COOK,ELEVATED BACTERIA,ECOLI,UNKNOWN,7,8,7,0,0
IL782704,Highland Park Avenue Boating Beach,IL,LAKE,ELEVATED BACTERIA,ECOLI,UNKNOWN,10,22,10,0,0
IL798802,Hartigan Beach,IL,COOK,ELEVATED BACTERIA,"ENTEROCOCCI, ECOLI",UNKNOWN,20,22,0,0,20
IL814025,Rainbow Beach,IL,COOK,ELEVATED BACTERIA,"ENTEROCOCCI, ECOLI",UNKNOWN,25,28,0,0,25
IL820929,12th Street,IL,COOK,ELEVATED BACTERIA,"ENTEROCOCCI, ECOLI",UNKNOWN,16,17,0,0,16
IL913512,North Point Marina Beach,IL,LAKE,ELEVATED BACTERIA,ECOLI,UNKNOWN,27,80,21,0,6
IL923491,Kathy Osterman Beach,IL,COOK,ELEVATED BACTERIA,"ENTEROCOCCI, ECOLI",UNKNOWN,11,12,0,0,11
IL926480,Ohio Street Beach,IL,COOK,ELEVATED BACTERIA,"ENTEROCOCCI, ECOLI",UNKNOWN,19,24,0,0,19
IL928218,Winnetka Elder Park Beach,IL,COOK,"ELEVATED BACTERIA, OTHER",ECOLI,"UNKNOWN, OTHER",19,23,15,0,4
IL942128,Glencoe Park Beach,IL,COOK,ELEVATED BACTERIA,ECOLI,UNKNOWN,9,13,9,0,0
IL984895,Kenilworth Beach,IL,COOK,ELEVATED BACTERIA,ECOLI,"UNKNOWN, STORM",9,11,9,0,0
IL997277,Oakwood Beach,IL,COOK,ELEVATED BACTERIA,"ENTEROCOCCI, ECOLI",UNKNOWN,12,13,0,0,12
IN050219,Hammond Marina West Beach,IN,LAKE,ELEVATED BACTERIA,ECOLI,UNKNOWN,10,10,2,0,8
IN319633,Jeorse Park Beach I,IN,LAKE,ELEVATED BACTERIA,ECOLI,UNKNOWN,24,44,0,0,24
IN350941,Sheridan Beach Stop 2,IN,LAPORTE,ELEVATED BACTERIA,ECOLI,UNKNOWN,9,9,0,0,9
IN365394,Shoreland Hills Beach Stop 31,IN,LAPORTE,ELEVATED BACTERIA,ECOLI,UNKNOWN,5,15,0,0,5
IN415822,Hammond Marina East Beach,IN,LAKE,ELEVATED BACTERIA,ECOLI,UNKNOWN,15,15,3,0,12
IN521740,Shore Avenue Beach,IN,PORTER,ELEVATED BACTERIA,ECOLI,UNKNOWN,5,5,0,0,5
IN530290,Whihala Beach West,IN,LAKE,ELEVATED BACTERIA,ECOLI,UNKNOWN,25,26,10,0,15
IN584815,Long Beach Stop 20,IN,LAPORTE,ELEVATED BACTERIA,ECOLI,UNKNOWN,3,10,0,0,3
IN700064,Indiana Dunes State Park West Beach,IN,PORTER,ELEVATED BACTERIA,ECOLI,UNKNOWN,18,20,0,0,18
IN701183,Whihala Beach East,IN,LAKE,ELEVATED BACTERIA,ECOLI,UNKNOWN,14,14,0,0,14
IN708061,Buffington Harbor Beach,IN,LAKE,ELEVATED BACTERIA,ECOLI,UNKNOWN,13,20,0,0,13
IN713297,Broadway Beach,IN,PORTER,ELEVATED BACTERIA,ECOLI,UNKNOWN,5,5,0,0,5
IN740775,Long Beach Stop 24,IN,LAPORTE,"MODEL, ELEVATED BACTERIA",ECOLI,UNKNOWN,3,107,1,0,2
IN753470,Michiana Shores Stop 37,IN,LAPORTE,ELEVATED BACTERIA,ECOLI,UNKNOWN,3,7,0,0,3
IN768689,Indiana Dunes State Park East Beach,IN,PORTER,ELEVATED BACTERIA,ECOLI,UNKNOWN,17,21,0,0,17
IN785671,Ogden Dunes East Beach,IN,PORTER,ELEVATED BACTERIA,ECOLI,UNKNOWN,5,5,0,0,5
IN801572,Ogden Dunes West Beach,IN,PORTER,ELEVATED BACTERIA,ECOLI,UNKNOWN,3,5,1,0,2
IN924097,Marquette Park Beach,IN,LAKE,ELEVATED BACTERIA,ECOLI,UNKNOWN,1,3,0,0,1
IN941586,Lake Street Beach,IN,LAKE,ELEVATED BACTERIA,ECOLI,UNKNOWN,4,8,0,0,4
IN945823,Washington Park Beach,IN,LAPORTE,ELEVATED BACTERIA,ECOLI,UNKNOWN,20,21,1,0,19
IN971200,Jeorse Park Beach II,IN,LAKE,ELEVATED BACTERIA,ECOLI,UNKNOWN,22,30,1,0,21
IN991831,Sheridan Beach Stop 7,IN,LAPORTE,ELEVATED BACTERIA,ECOLI,UNKNOWN,8,8,0,0,8
IN997868,Duneland Beach Stop 34,IN,LAPORTE,ELEVATED BACTERIA,ECOLI,UNKNOWN,4,12,0,0,4
LA109442,HOLLY3,LA,CAMERON,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,5,135,0,0,5
LA134778,CNST1,LA,CAMERON,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,6,155,0,0,6
LA135245,MART1,LA,CAMERON,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,8,150,0,0,8
LA164373,HOLLY5,LA,CAMERON,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,4,143,0,0,4
LA186192,GISP4,LA,JEFFERSON,"ELEVATED BACTERIA, OTHER","ENTEROCOCCI, PREEMPTORY ACTION",UNKNOWN,5,67,1,0,4
LA202517,LCNB1,LA,CALCASIEU,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,10,232,0,0,10
LA204303,GISP3,LA,JEFFERSON,"ELEVATED BACTERIA, OTHER","ENTEROCOCCI, PREEMPTORY ACTION",UNKNOWN,5,31,1,0,4
LA221569,GISP2,LA,JEFFERSON,"ELEVATED BACTERIA, OTHER","ENTEROCOCCI, PREEMPTORY ACTION",UNKNOWN,6,38,1,0,5
LA240078,GISP1,LA,JEFFERSON,"ELEVATED BACTERIA, OTHER","ENTEROCOCCI, PREEMPTORY ACTION",UNKNOWN,6,82,1,0,5
LA284049,RUTH1,LA,CAMERON,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,6,201,0,0,6
LA325065,GIB2,LA,JEFFERSON,"ELEVATED BACTERIA, OTHER","ENTEROCOCCI, PREEMPTORY ACTION",UNKNOWN,7,69,1,0,6
LA430483,GIB1,LA,JEFFERSON,"ELEVATED BACTERIA, OTHER","ENTEROCOCCI, PREEMPTORY ACTION",UNKNOWN,7,52,1,0,6
LA467180,HOLLY6,LA,CAMERON,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,5,142,0,0,5
LA489985,HOLLY1,LA,CAMERON,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,4,133,0,0,4
LA595220,LTFL1,LA,CAMERON,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,4,135,0,0,4
LA697221,HOLLY4,LA,CAMERON,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,2,155,0,0,2
LA725358,GBRZ1,LA,CAMERON,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,6,78,0,0,6
LA733869,FNTB1,LA,ST. TAMMANY,"ELEVATED BACTERIA, OTHER","ENTEROCOCCI, PREEMPTORY ACTION",UNKNOWN,7,216,2,0,5
LA799656,GIB3,LA,JEFFERSON,"ELEVATED BACTERIA, OTHER","ENTEROCOCCI, PREEMPTORY ACTION",UNKNOWN,7,193,2,0,5
LA829030,HOLLY2,LA,CAMERON,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,6,108,0,0,6
LA834833,ELMR1,LA,JEFFERSON,"ELEVATED BACTERIA, OTHER","ENTEROCOCCI, PREEMPTORY ACTION",UNKNOWN,7,68,1,0,6
LA860482,DUNG1,LA,CAMERON,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,6,151,0,0,6
LA971783,CYPT1,LA,ST. MARY,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,11,185,0,0,11
LA981443,LCSB1,LA,CALCASIEU,"ELEVATED BACTERIA, OTHER","ENTEROCOCCI, PREEMPTORY ACTION",UNKNOWN,6,272,1,0,5
MA005593,Donovans,MA,SUFFOLK,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,4,60,0,0,4
MA035626,Broady (Baker),MA,NORFOLK,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,4,17,0,0,4
MA053694,Short,MA,ESSEX,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,3,12,0,0,3
MA082695,Good Harbor Creek,MA,ESSEX,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,2,12,0,0,2
MA100769,Chikatawbot,MA,NORFOLK,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,4,0,0,1
MA102019,Sandy Beach,MA,NORFOLK,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,3,13,0,0,3
MA111763,Cisco,MA,NANTUCKET,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,1,0,0,1
MA124463,Tenean (DCR),MA,SUFFOLK,"ELEVATED BACTERIA, RAINFALL","ENTEROCOCCI, PREEMPTORY ACTION",UNKNOWN,46,77,0,13,33
MA125754,S. Sunken Meadow,MA,BARNSTABLE,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,2,11,0,0,2
MA133692,Delano Ave.,MA,NORFOLK,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,2,4,0,0,2
MA136039,A Street Bay Side,MA,PLYMOUTH,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,2,3,0,0,2
MA148482,Minot,MA,PLYMOUTH,OTHER,PREEMPTORY ACTION,UNKNOWN,1,2,1,0,0
MA151015,Black Rock,MA,ESSEX,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,3,5,0,0,3
MA156826,Dune's Colony (648 Shore Rd),MA,BARNSTABLE,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,1,0,0,1
MA176070,Planting Island,MA,PLYMOUTH,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,6,0,0,1
MA178514,Surfside 1,MA,NANTUCKET,OTHER,PREEMPTORY ACTION,UNKNOWN,1,5,1,0,0
MA182407,North Boulevard,MA,PLYMOUTH,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,5,0,0,1
MA189268,Wings Neck Trust Association (North Beach),MA,BARNSTABLE,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,1,0,0,1
MA193995,Smith Beach,MA,NORFOLK,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,1,0,0,1
MA201918,Belair,MA,PLYMOUTH,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,3,0,0,1
MA203090,Wollaston @ Milton Street (DCR),MA,NORFOLK,"RAINFALL, ELEVATED BACTERIA","PREEMPTORY ACTION, ENTEROCOCCI",UNKNOWN,29,35,0,11,18
MA211876,Independence Park,MA,ESSEX,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,1,0,0,1
MA218585,Mingo,MA,ESSEX,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,1,0,0,1
MA222677,Camp Naumkeag,MA,ESSEX,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,7,0,0,1
MA236087,J. Beach,MA,BRISTOL,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,1,0,0,1
MA246390,Mill Creek,MA,BARNSTABLE,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,2,0,0,1
MA249263,Swansea Town Beach,MA,BRISTOL,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,2,0,0,1
MA259042,Malibu (DCR),MA,SUFFOLK,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,13,19,0,0,13
MA262419,Winston Ave,MA,BARNSTABLE,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,2,0,0,1
MA271417,400 Beach,MA,BRISTOL,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,1,0,0,1
MA273205,Owen Park,MA,DUKES,OTHER,PREEMPTORY ACTION,UNKNOWN,1,1,1,0,0
MA282318,Children's Island - Back,MA,ESSEX,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,5,0,0,1
MA289542,Constitution (DCR),MA,SUFFOLK,"ELEVATED BACTERIA, RAINFALL","ENTEROCOCCI, PREEMPTORY ACTION",UNKNOWN,15,20,0,7,8
MA293803,Seal Cove,MA,PLYMOUTH,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,1,0,0,1
MA294678,Town Landing - Breakwater,MA,BARNSTABLE,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,6,0,0,1
MA305758,Rexhame,MA,PLYMOUTH,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,2,0,0,1
MA323358,637 Commercial Street,MA,BARNSTABLE,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,2,2,0,0,2
MA333119,Owen Little Way,MA,DUKES,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,3,4,0,0,3
MA336945,Ocean Avenue,MA,ESSEX,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,7,0,0,1
MA344492,Squid,MA,BRISTOL,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,1,0,0,1
MA350664,O'Tools,MA,BRISTOL,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,1,0,0,1
MA351168,Osgood,MA,ESSEX,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,2,19,0,0,2
MA352004,Brant Rock,MA,PLYMOUTH,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,2,0,0,1
MA365344,Standish Shores,MA,PLYMOUTH,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,1,0,0,1
MA372082,Coles River Club off Harbor Rd,MA,BRISTOL,"OTHER, ELEVATED BACTERIA","ENTEROCOCCI, PREEMPTORY ACTION",UNKNOWN,4,15,3,0,1
MA389498,Tashmoo Cut,MA,DUKES,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,2,0,0,1
MA390968,Little Harbor,MA,PLYMOUTH,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,1,0,0,1
MA408301,Cook's Brook,MA,BARNSTABLE,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,2,11,0,0,2
MA421691,Rhoda,MA,NORFOLK,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,6,0,0,1
MA430398,Pierce Beach,MA,BRISTOL,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,3,11,0,0,3
MA447128,Yerrill,MA,SUFFOLK,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,2,8,0,0,2
MA452184,West Manchester,MA,ESSEX,OTHER,PREEMPTORY ACTION,UNKNOWN,1,24,1,0,0
MA459982,Pleasure Bay (DCR),MA,SUFFOLK,RAINFALL,PREEMPTORY ACTION,UNKNOWN,1,1,0,1,0
MA460485,Willow Avenue,MA,ESSEX,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,7,0,0,1
MA461389,Beverly Yacht,MA,PLYMOUTH,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,8,0,0,1
MA476242,Hingham Town Beach,MA,PLYMOUTH,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,1,0,0,1
MA484411,Vineyard Harbor Motel,MA,DUKES,OTHER,PREEMPTORY ACTION,UNKNOWN,1,1,1,0,0
MA487839,Halford,MA,SUFFOLK,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,3,3,0,0,3
MA498031,Leeside,MA,BRISTOL,"ELEVATED BACTERIA, OTHER","ENTEROCOCCI, PREEMPTORY ACTION",UNKNOWN,2,17,1,0,1
MA523978,Cahoon Hollow,MA,BARNSTABLE,OTHER,PREEMPTORY ACTION,UNKNOWN,1,9,1,0,0
MA530387,Humarock,MA,PLYMOUTH,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,2,0,0,1
MA544995,Kings (DCR),MA,ESSEX,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,22,32,0,0,22
MA562850,Wollaston @ Rice Road (DCR),MA,NORFOLK,"RAINFALL, ELEVATED BACTERIA","PREEMPTORY ACTION, ENTEROCOCCI",UNKNOWN,23,40,0,11,12
MA565565,Cross Street,MA,BARNSTABLE,ELEVATED BACTERIA,PREEMPTORY ACTION,UNKNOWN,1,2,0,0,1
MA576153,593 Commercial Street,MA,BARNSTABLE,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,2,2,0,0,2
MA579607,Waikiki Beach (Winter Island),MA,ESSEX,OTHER,PREEMPTORY ACTION,UNKNOWN,1,4,1,0,0
MA584217,Silver Springs Association,MA,BARNSTABLE,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,10,0,0,1
MA588301,Kendal Lane,MA,BARNSTABLE,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,6,0,0,1
MA589398,Follins Pond,MA,BARNSTABLE,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,1,0,0,1
MA594150,Darcy's,MA,PLYMOUTH,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,2,0,0,1
MA609608,Tower Beach,MA,BRISTOL,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,1,0,0,1
MA613695,Newport,MA,PLYMOUTH,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,2,0,0,1
MA620657,Town Landing - Snail Road,MA,BARNSTABLE,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,2,3,0,0,2
MA629499,Egypt,MA,PLYMOUTH,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,2,0,0,1
MA639914,Ryder Street,MA,BARNSTABLE,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,2,10,0,0,2
MA640314,Mound,MA,NORFOLK,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,21,0,0,1
MA640881,Howes Street,MA,BARNSTABLE,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,1,0,0,1
MA667947,Short (DCR),MA,SUFFOLK,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,4,17,0,0,4
MA686988,Moses Smith Creek,MA,BRISTOL,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,4,51,0,0,4
MA689045,Carson Beach (DCR),MA,SUFFOLK,RAINFALL,PREEMPTORY ACTION,UNKNOWN,1,1,0,1,0
MA690649,333 Commercial Street,MA,BARNSTABLE,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,1,0,0,1
MA697743,Bassings Beach,MA,PLYMOUTH,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,3,14,0,0,3
MA697913,Martin's Cove,MA,PLYMOUTH,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,6,0,0,1
MA701589,Wompatuck,MA,PLYMOUTH,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,1,0,0,1
MA715607,Wollaston @ Sachem Street (DCR),MA,NORFOLK,"ELEVATED BACTERIA, RAINFALL","ENTEROCOCCI, PREEMPTORY ACTION",UNKNOWN,29,38,0,14,15
MA720593,451 Commercial Street,MA,BARNSTABLE,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,15,0,0,1
MA736369,Green Harbor,MA,PLYMOUTH,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,3,5,0,0,3
MA751175,Atlantic Avenue,MA,BARNSTABLE,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,1,0,0,1
MA752065,Mayo,MA,BARNSTABLE,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,1,0,0,1
MA753387,Pico,MA,SUFFOLK,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,3,21,0,0,3
MA801427,Medeiros Cove (Sailing Camp),MA,DUKES,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,1,0,0,1
MA802515,Sandy Beach,MA,ESSEX,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,7,0,0,1
MA823928,Johnson Street,MA,BARNSTABLE,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,6,0,0,1
MA837135,Sand Hills,MA,PLYMOUTH,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,2,0,0,1
MA846279,M Street Beach (DCR),MA,SUFFOLK,RAINFALL,PREEMPTORY ACTION,UNKNOWN,1,1,0,1,0
MA861846,Town Landing West of Coast Guard,MA,BARNSTABLE,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,2,19,0,0,2
MA866757,Edgewater,MA,NORFOLK,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,6,0,0,1
MA874495,Fieldston,MA,PLYMOUTH,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,2,0,0,1
MA913781,Cedar Cove Club,MA,BRISTOL,"ELEVATED BACTERIA, OTHER","ENTEROCOCCI, PREEMPTORY ACTION",UNKNOWN,2,9,1,0,1
MA930718,Scituate Lighthouse,MA,PLYMOUTH,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,3,6,0,0,3
MA930792,Parkhurst,MA,NORFOLK,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,3,0,0,1
MA957865,Dyer Prince,MA,BARNSTABLE,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,3,0,0,1
MA957964,Wollaston @ Channing Street (DCR),MA,NORFOLK,"ELEVATED BACTERIA, RAINFALL","ENTEROCOCCI, PREEMPTORY ACTION",UNKNOWN,29,38,0,14,15
MA971441,Kids Beach,MA,BRISTOL,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,1,0,0,1
MA982021,Kimball,MA,PLYMOUTH,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,1,0,0,1
MA984037,Kings,MA,ESSEX,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,7,0,0,1
MA992826,Sunrise,MA,PLYMOUTH,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,2,0,0,1
MD134679,Sandy Point State Park Middle Beach,MD,ANNE ARUNDEL,OTHER,OTHER,OTHER,1,3,1,0,0
MD141418,BROWNIE'S BEACH,MD,CALVERT,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,2,15,0,0,2
MD161556,Boy Scout Beach (Eliason),MD,KENT,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,2,20,0,0,2
MD248424,North Beach,MD,CALVERT,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,7,0,0,1
MD248962,Sandy Point State Park South Beach,MD,ANNE ARUNDEL,"OTHER, ELEVATED BACTERIA","OTHER, ENTEROCOCCI","OTHER, UNKNOWN",2,8,1,0,1
MD254131,Bay Ridge Beach at Bay Dr.,MD,ANNE ARUNDEL,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,7,0,0,1
MD329092,Fort Smallwood at Pond Drive,MD,ANNE ARUNDEL,OTHER,OTHER,OTHER,1,3,1,0,0
MD329490,Breezy Point,MD,CALVERT,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,7,0,0,1
MD330571,Tolchester Marina and Beach,MD,KENT,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,2,8,0,0,2
MD337680,Beverly Beach,MD,ANNE ARUNDEL,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,7,0,0,1
MD353579,Echo Hill Camp (Youth Camp),MD,KENT,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,2,9,0,0,2
MD388209,Elk Neck State Park North East River,MD,CECIL,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,6,50,0,0,6
MD461894,Chesapeake Bay Foundation,MD,ANNE ARUNDEL,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,7,0,0,1
MD589147,YMCA Camp Tockwogh (Youth Camp),MD,KENT,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,3,11,0,0,3
MD599212,Elm's Beach - Public Beach,MD,ST. MARY'S,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,3,0,0,1
MD633156,Matapeake,MD,QUEEN ANNE'S,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,4,0,0,1
MD701229,Atlantic Marina Resort,MD,ANNE ARUNDEL,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,6,0,0,1
MD754215,CRYSTAL BEACH MANOR,MD,CECIL,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,2,14,0,0,2
MD803163,Tolchester Estates Beach,MD,KENT,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,2,8,0,0,2
MD870750,Camp Wright,MD,QUEEN ANNE'S,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,4,0,0,1
MD879656,Ferry Park,MD,KENT,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,3,9,0,0,3
MD919812,Grove Point Camp,MD,CECIL,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,7,0,0,1
MD987068,Sandy Point State Park East Beach,MD,ANNE ARUNDEL,OTHER,OTHER,OTHER,1,3,1,0,0
ME101827,SHORT SANDS BEACH,ME,YORK,RAINFALL,PREEMPTORY ACTION,STORM,1,1,0,1,0
ME120281,YORK HARBOR BEACH,ME,YORK,"RAINFALL, ELEVATED BACTERIA","PREEMPTORY ACTION, ENTEROCOCCI","STORM, UNKNOWN",2,6,0,1,1
ME159520,MACKEREL COVE,ME,CUMBERLAND,"ELEVATED BACTERIA, RAINFALL","ENTEROCOCCI, PREEMPTORY ACTION","UNKNOWN, STORM",4,11,0,1,3
ME187302,CRESCENT BEACH,ME,CUMBERLAND,RAINFALL,PREEMPTORY ACTION,STORM,2,3,0,2,0
ME191827,CAPE NEDDICK BEACH,ME,YORK,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,2,5,0,0,2
ME202939,LAGOON BEACH,ME,SAGADAHOC,RAINFALL,PREEMPTORY ACTION,STORM,1,2,0,1,0
ME213752,FORT FOSTER - SCUBA BEACH,ME,YORK,RAINFALL,PREEMPTORY ACTION,STORM,2,2,0,2,0
ME225501,CRESCENT BEACH (KITTERY),ME,YORK,RAINFALL,PREEMPTORY ACTION,STORM,2,2,0,2,0
ME226383,HIGGINS BEACH,ME,CUMBERLAND,RAINFALL,PREEMPTORY ACTION,STORM,2,4,0,2,0
ME242175,GOOCHS BEACH,ME,YORK,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,4,9,0,0,4
ME286041,FORT FOSTER - PIER BEACH,ME,YORK,RAINFALL,PREEMPTORY ACTION,STORM,2,2,0,2,0
ME289576,DRAKES ISL BEACH,ME,YORK,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,1,0,0,1
